mom,rev,portfolio
1328.5038726480575,-375.3592840576172,953.1445885904403
326.5625428820292,546.0001041412354,1825.707235613705
2737.6390749808174,-1171.800496673584,3391.5458139209386
,67.41014694213867,3458.955960863077
-573.4345529957423,-1186.55806640625,1698.9633414610848
,-1086.8606687164306,612.1026727446542
,-370.04087615966796,242.06179658498627
-604.530133152008,254.40012939453123,-108.06820717249053
49.31663547382658,-500.27953735351565,-559.0311090521795
468.08657174634175,-274.78095291137697,-365.72549021721477
-178.58011573570494,-186.30098876953124,-730.606594722451
0.0,0.0,-730.606594722451
218.78286947784426,365.9590028381348,-145.86472240647197
1277.8925637274333,-685.6807629013061,446.3470784196552
-833.9351488103957,-479.69837341308596,-867.2864438038264
,-571.141146697998,-1438.4275905018244
925.0231871531653,-491.401057434082,-1004.8054607827412
1126.7905067040763,-990.4496594238282,-868.4646135024931
-3024.250535027822,-2055.7207064819336,-5948.435855012249
,-885.0398532104492,-6833.475708222698
-2176.451412654283,-277.76119201660157,-9287.688312893582
-996.7217602852716,-151.1998718261719,-10435.609945005026
-511.8705160549587,-319.0191262817383,-11266.499587341723
-640.9268990966797,-204.75137084960937,-12112.177857288012
-2291.273027114868,-428.3996154785156,-14831.850499881395
-1269.8792098561182,-463.4500768661499,-16565.179786603665
,-1007.0400800323487,-17572.219866636013
,0.0,-17572.219866636013
,71.59986343383788,-17500.620003202173
,49.219906120300294,-17451.400097081874
-366.72326952552794,-508.0608160400391,-18326.18418264744
672.9428866456168,-1450.3993270874023,-19103.640623089228
-593.6249213225955,-208.50087490081788,-19905.76641931264
-1492.8694690907068,-240.76,-21639.395888403345
-1578.5725970147996,214.39867095947267,-23003.56981445867
1056.4235802407159,-1183.200132751465,-23130.34636696942
0.0,0.0,-23130.34636696942
1263.3033714570604,-657.6001672363282,-22524.64316274869
687.6271662062871,544.4986907958985,-21292.517305746504
408.8541441650391,-704.2201184082031,-21587.883279989666
115.92480717976889,-128.5562610244751,-21600.514733834374
-583.9169272184372,-529.2187113952637,-22713.650372448075
-2279.55156892923,-388.92141296386717,-25382.123354341173
-1323.7228936974025,-359.3821543121338,-27065.22840235071
1786.26229600755,-921.6898654174805,-26200.65597176064
636.8639670851094,-362.00055236816405,-25925.792557043693
-2638.7052219291413,-379.3198937988281,-28943.817672771664
-4259.770359399115,-219.1622801208496,-33422.750312291624
-3168.4237807996274,-361.6794146728516,-36952.853507764106
-4677.094102723258,-570.2091641235352,-42200.1567746109
-4821.7327605772025,151.6196694946289,-46870.26986569347
-6628.899701904467,-1436.2509496688842,-54935.42051726682
-3487.1313348879135,-848.7203771972656,-59271.272229352006
-5842.770688125065,-843.6513694763183,-65957.6942869534
-6384.853958324433,-809.8300767517089,-73152.37832202954
-3767.4687313325066,-367.6809350585938,-77287.52798842064
-3868.0549057764324,-883.7418328857422,-82039.32472708281
-3551.7666146627494,-1695.7505447387696,-87286.84188648433
-3214.006847968646,-926.7280921173095,-91427.57682657028
-3925.432916312218,-609.9598631286622,-95962.96960601116
,-578.9989013671875,-96541.96850737835
1176.697440481731,-1196.4598132324218,-96561.73088012903
3898.20447492327,-1752.9392961120604,-94416.46570131782
701.9122040109975,-617.9999214172364,-94332.55341872406
-1408.9124389928409,-506.65956073760987,-96248.12541845451
3024.510741531672,-1848.597613220215,-95072.21229014306
-399.30041854325555,-248.63850952148437,-95720.1512182078
2616.9078359885216,11.870815048217771,-93091.37256717106
-1108.7246304805756,113.279423828125,-94086.81777382351
694.1812020057678,129.79900970458985,-93262.83756211316
4594.181668763352,-801.0190908813477,-89469.67498423115
2153.668468325043,105.42814376831055,-87210.5783721378
1332.085489819336,-255.20228271484376,-86133.6951650333
3314.3436597948075,-18.1,-82837.4515052385
3486.132078163147,-770.0409791564941,-80121.36040623185
4535.279436767578,-359.0508154296875,-75945.13178489395
4423.744698669434,161.98066650390626,-71359.40641972062
312.2499996751785,-103.76964813232422,-71150.92606817777
2813.3223520362853,104.58060791015625,-68233.02310823133
6294.077518077851,-682.2403002929688,-62621.185890446446
