Date,AAON,AAP,ABR,ACAD,ACGL,ACI,ACT,AESI,AGTI,AHCO,ALGM,ALV,AMH,AMR,ANGI,AOSL,APAM,APPF,APPS,AR,ARMK,AUB,AVID,AVTR,AXTA,BERY,BG,BILL,BTU,BURL,BWXT,CARG,CART,CAVA,CBTX,CCK,CELH,CERT,CG,CHK,CHRD,CHWY,CLFD,CNM,CNS,CON,CPRX,CRC,CRGY,CRK,CSGP,CTKB,CUBE,CVI,CWEN,CWEN.A,CWK,CXM,DBX,DFH,DLB,DOCN,DOCS,DOCU,DT,DUOL,DV,DVAX,ECGW,EHAB,ELS,ENSG,ENTG,ERIE,EXPI,EYE,FBHS,FLEX,FND,FOUR,FSLR,FTDR,FTREV,FYBR,GDYN,GEHCV,GOLF,GPK,GRALV,GRBK,GSHD,GTES,GWRE,H,HAYW,HGV,HIMS,HTA,HTZ,IAC,INSW,INVH,IRT,JXN,KAI,KVUE,KW,LESL,LNTH,LRN,LULU,MAGN,MARA,MC,MCW,MDU,MP,MSGS,MTSI,NABL,NATL,NEX,NLY,NOG,NOVT,NXST,OKTA,ORA,OTTR,OUT,OVV,PACW,PAG,PANW,PAYO,PCG,PECO,PLNT,PODD,POR,PRVA,PSTG,PTGX,RDN,ROIV,RUSHA,RXO,RYAN,SATS,SDGR,SHO,SIX,SJW,SMCI,SNCY,SNDK,SNDKV,SNDR,SPY,SRPT,SSB,STAG,STHOV,STRL,STWD,SWI,TMDX,TRGP,UFPT,USFD,VAL,VICI,VRRM,WCC,WLK,WMS,WPC,XPER,ZI
2022-04-22,36.8111457824707,201.5234375,11.754700660705566,20.43000030517578,44.98701095581055,22.45452308654785,20.22703742980957,,,14.359999656677246,24.06999969482422,66.0582504272461,39.2888298034668,122.6884536743164,47.29999923706055,43.40999984741211,28.729177474975586,108.87999725341797,32.650001525878906,32.86000061035156,26.5952205657959,32.3377685546875,,30.020000457763672,24.8700008392334,55.108314514160156,108.78170013427734,172.52999877929688,23.727947235107422,209.14999389648438,52.647789001464844,34.7599983215332,,,,115.12147521972656,17.48666763305664,20.06999969482422,35.643497467041016,,97.22083282470703,34.619998931884766,52.22999954223633,24.40999984741211,73.74528503417969,,8.050000190734863,39.9089469909668,14.983091354370117,15.328620910644531,61.20000076293945,9.430000305175781,46.118865966796875,18.146263122558594,26.852304458618164,,18.34000015258789,13.029999732971191,21.940000534057617,16.989999771118164,73.699462890625,42.900001525878906,44.619998931884766,86.33000183105469,39.900001525878906,86.0,22.079999923706055,9.520000457763672,,,74.67292022705078,80.6290054321289,111.1812744140625,165.05845642089844,14.175558090209961,40.75,,12.456668853759766,79.5,51.04999923706055,72.37000274658203,31.84000015258789,,27.450000762939453,14.270000457763672,,38.889163970947266,20.546356201171875,,19.59000015258789,50.823997497558594,13.289999961853027,89.7300033569336,93.953125,16.170000076293945,48.59000015258789,4.650000095367432,,22.549999237060547,71.57506561279297,14.632803916931152,38.99086380004883,24.90757942199707,37.75051498413086,187.3711395263672,,19.750431060791016,20.059999465942383,58.33000183105469,36.849998474121094,363.6600036621094,156.77999877929688,18.149999618530273,39.06541442871094,14.529999732971191,10.016769409179688,41.16999816894531,160.02752685546875,51.61000061035156,9.789999961853027,,,17.044204711914062,22.379812240600586,127.26000213623047,152.6922149658203,136.3300018310547,78.99559783935547,57.77778244018555,22.397445678710938,46.55937194824219,,90.63801574707031,95.26333618164062,4.119999885559082,12.069940567016602,31.699230194091797,82.2300033569336,249.3800048828125,46.77222442626953,24.75,29.690000534057617,18.90999984741211,19.605894088745117,3.9100000858306885,31.138042449951172,,39.20540237426758,24.65999984741211,26.920000076293945,11.259068489074707,,58.47338104248047,4.236000061035156,28.1299991607666,,,21.789653778076172,407.7720031738281,76.4000015258789,72.79907989501953,35.773624420166016,,24.729999542236328,17.775794982910156,11.35989761352539,21.34000015258789,70.99777221679688,70.9800033569336,38.20000076293945,50.45000076293945,25.36823272705078,14.869999885559082,122.95198822021484,122.29358673095703,104.46199035644531,69.81021118164062,,49.790000915527344
2022-04-25,36.10942459106445,206.58021545410156,11.918527603149414,20.260000228881836,44.435489654541016,22.678302764892578,20.31407356262207,,,14.1899995803833,24.549999237060547,67.42699432373047,38.11422348022461,119.72660827636719,48.70000076293945,43.970001220703125,29.14271354675293,112.69000244140625,34.0099983215332,32.47999954223633,26.41444206237793,31.925710678100586,,30.389999389648438,25.1200008392334,54.76340866088867,107.35204315185547,182.89999389648438,23.466564178466797,209.25,51.414676666259766,36.52000045776367,,,,112.46915435791016,19.166667938232422,20.969999313354492,36.3773078918457,,96.54065704345703,34.65999984741211,55.310001373291016,24.610000610351562,73.88915252685547,,8.25,38.98989486694336,14.501177787780762,15.688846588134766,62.650001525878906,9.609999656677246,45.65576171875,17.44778060913086,26.8353328704834,,18.290000915527344,13.670000076293945,22.549999237060547,17.6299991607666,73.96644592285156,44.459999084472656,46.65999984741211,89.94999694824219,41.02000045776367,90.19000244140625,22.75,9.949999809265137,,,75.27162170410156,83.22127532958984,113.0759048461914,165.33432006835938,14.596426963806152,40.310001373291016,,12.660136222839355,81.0999984741211,54.83000183105469,72.44999694824219,32.349998474121094,,27.850000381469727,14.869999885559082,,39.76060104370117,20.126262664794922,,20.489999771118164,54.2501220703125,13.229999542236328,90.86000061035156,96.63861846923828,16.600000381469727,49.25,4.820000171661377,,23.5,73.48646545410156,14.381256103515625,38.746482849121094,25.08754539489746,37.00094985961914,189.58787536621094,,19.584739685058594,20.760000228881836,59.09000015258789,37.099998474121094,368.0899963378906,151.83999633789062,18.719999313354492,39.788848876953125,14.880000114440918,9.8587064743042,41.63999938964844,162.8167724609375,53.029998779296875,10.4399995803833,,,17.070348739624023,22.09841537475586,130.75,150.0722198486328,138.39999389648438,77.55272674560547,56.62074279785156,22.60874366760254,45.62449264526367,,94.04488372802734,99.95500183105469,4.360000133514404,11.761475563049316,31.798269271850586,83.66999816894531,251.38999938964844,46.37593078613281,25.510000228881836,30.770000457763672,18.799999237060547,19.5157527923584,4.050000190734863,31.201486587524414,,39.11674880981445,24.530000686645508,27.540000915527344,11.443493843078613,,57.552101135253906,4.2779998779296875,27.649999618530273,,,22.441238403320312,410.1361389160156,76.69999694824219,72.46735382080078,35.60691452026367,,24.489999771118164,17.753442764282227,11.571802139282227,22.510000228881836,68.10828399658203,71.4800033569336,38.86000061035156,49.33000183105469,25.667390823364258,14.800000190734863,122.72695922851562,122.80184173583984,107.49031829833984,69.3189926147461,,50.939998626708984
2022-04-26,33.39432907104492,206.1834259033203,11.71374225616455,18.940000534057617,44.226287841796875,21.972007751464844,20.209630966186523,,,13.520000457763672,23.8700008392334,64.67112731933594,37.81827163696289,128.8114776611328,47.5,41.91999816894531,27.933307647705078,105.4000015258789,32.20000076293945,32.56999969482422,25.649616241455078,31.173259735107422,,29.389999389648438,26.239999771118164,53.15385055541992,105.94085693359375,174.02999877929688,24.696041107177734,203.16000366210938,50.35498046875,35.34000015258789,,,,102.90138244628906,17.77666664123535,19.020000457763672,34.202720642089844,,92.9910659790039,31.420000076293945,53.59000015258789,24.3799991607666,70.61598205566406,,7.849999904632568,37.89446258544922,13.99298095703125,15.338098526000977,59.9900016784668,9.25,44.72079849243164,17.547565460205078,27.20875358581543,,17.75,13.5,21.6200008392334,17.989999771118164,72.66010284423828,41.06999969482422,44.56999969482422,84.38999938964844,38.779998779296875,86.26000213623047,22.020000457763672,9.4399995803833,,,73.4294662475586,82.27772521972656,108.32946014404297,158.85638427734375,13.831212997436523,39.11000061035156,,12.200451850891113,81.0199966430664,52.79999923706055,71.44000244140625,31.299999237060547,,27.3799991607666,13.979999542236328,,37.97941970825195,19.858932495117188,,20.06999969482422,49.88701629638672,12.789999961853027,87.45999908447266,95.05308532714844,16.18000030517578,47.439998626708984,4.650000095367432,,23.0,70.97621154785156,14.740610122680664,38.02241897583008,24.91657829284668,35.92772674560547,181.2233123779297,,18.988248825073242,19.93000030517578,57.9900016784668,36.900001525878906,352.5299987792969,146.25,17.100000381469727,38.401554107666016,14.180000305175781,9.67491340637207,38.150001525878906,157.64903259277344,51.45000076293945,10.020000457763672,,,16.547521591186523,21.957712173461914,127.66999816894531,146.66622924804688,129.69000244140625,76.62022399902344,55.759910583496094,21.98330307006836,46.031768798828125,,92.86558532714844,96.79833221435547,4.159999847412109,12.169445991516113,31.492164611816406,79.75,240.2899932861328,45.83871841430664,24.309999465942383,30.059999465942383,9.40999984741211,19.236310958862305,3.9100000858306885,30.44016456604004,,37.41259765625,23.670000076293945,25.68000030517578,11.240626335144043,,57.22043991088867,4.125,26.65999984741211,,,22.000459671020508,398.2581787109375,72.80999755859375,70.51374816894531,34.79087448120117,,23.56999969482422,17.28409194946289,11.074288368225098,20.84000015258789,68.56501770019531,69.76000213623047,38.08000183105469,49.5099983215332,25.265666961669922,14.180000305175781,117.56158447265625,121.77576446533203,102.43982696533203,68.63128662109375,,47.939998626708984
2022-04-27,32.135162353515625,207.51220703125,11.734220504760742,18.989999771118164,45.576568603515625,21.930049896240234,20.357587814331055,,,13.300000190734863,23.889999389648438,66.46243286132812,37.72578048706055,146.3166961669922,46.5,41.7400016784668,26.33377456665039,103.08999633789062,31.139999389648438,33.5099983215332,25.454927444458008,31.065767288208008,,29.420000076293945,26.219999313354492,54.159820556640625,109.72248077392578,172.82000732421875,25.65445327758789,206.32000732421875,50.239376068115234,34.75,,,,104.57960510253906,17.98666763305664,18.780000686645508,34.515933990478516,,92.73600769042969,30.81999969482422,54.43000030517578,23.790000915527344,71.1105728149414,,7.789999961853027,37.57883834838867,14.071837425231934,15.821561813354492,63.720001220703125,9.15999984741211,44.58973693847656,17.818403244018555,26.928680419921875,,17.760000228881836,13.619999885559082,21.799999237060547,17.450000762939453,72.50752258300781,41.099998474121094,43.29999923706055,82.70999908447266,38.880001068115234,87.95999908447266,21.739999771118164,9.390000343322754,,,72.25044250488281,80.94683837890625,106.79008483886719,159.7790985107422,13.639911651611328,38.25,,12.215523719787598,80.97000122070312,53.0099983215332,72.13999938964844,31.209999084472656,,27.510000228881836,14.010000228881836,,38.32416915893555,20.059429168701172,,19.68000030517578,52.499202728271484,12.779999732971191,87.72000122070312,95.87559509277344,15.5,47.900001525878906,4.489999771118164,,23.530000686645508,69.63904571533203,16.012714385986328,37.75089645385742,24.57463264465332,36.37064743041992,181.10507202148438,,18.897117614746094,19.450000762939453,58.16999816894531,37.65999984741211,354.0199890136719,145.86000061035156,16.719999313354492,38.19729995727539,14.399999618530273,9.693292617797852,38.7599983215332,158.47052001953125,51.40999984741211,10.069999694824219,,,16.547521591186523,21.755464553833008,128.3300018310547,145.7537384033203,127.05999755859375,77.5625228881836,55.223052978515625,22.16079330444336,46.19838333129883,,92.603515625,96.47000122070312,4.179999828338623,12.428157806396484,31.18606185913086,79.36000061035156,234.52000427246094,45.442420959472656,24.06999969482422,29.84000015258789,9.390000343322754,19.1732120513916,3.740000009536743,32.22293472290039,,38.00363540649414,23.510000228881836,25.229999542236328,11.47115707397461,,54.84354019165039,4.164000034332275,27.0,,,21.89505958557129,399.3780212402344,74.0,70.11750793457031,34.843536376953125,,23.200000762939453,17.269189834594727,10.972942352294922,20.559999465942383,70.0563735961914,68.69000244140625,38.279998779296875,50.58000183105469,25.274215698242188,14.010000228881836,120.51602935791016,123.07992553710938,100.4571304321289,68.81140899658203,,47.650001525878906
2022-04-28,32.850006103515625,193.21852111816406,11.959486961364746,18.959999084472656,44.464012145996094,22.468509674072266,20.59258460998535,,,13.359999656677246,25.079999923706055,68.45584106445312,38.02174377441406,149.7436981201172,46.400001525878906,44.560001373291016,26.216737747192383,106.16000366210938,33.38999938964844,35.869998931884766,26.122413635253906,31.334501266479492,,29.790000915527344,26.18000030517578,55.37657928466797,107.75788879394531,182.6999969482422,23.7182674407959,213.5399932861328,50.84629440307617,34.369998931884766,,,,107.17408752441406,18.579999923706055,18.989999771118164,34.435394287109375,,96.80990600585938,32.2599983215332,57.939998626708984,24.459999084472656,72.47737884521484,,7.820000171661377,39.13843536376953,14.501177787780762,16.01115608215332,65.45999908447266,9.649999618530273,45.43731689453125,18.76634407043457,26.72500228881836,,18.200000762939453,14.1899995803833,22.459999084472656,17.8799991607666,74.52906036376953,44.0,42.540000915527344,85.37000274658203,40.34000015258789,92.33000183105469,22.530000686645508,9.210000038146973,,,74.08341979980469,81.41362762451172,113.43114471435547,160.3973846435547,13.410347938537598,38.970001220703125,,12.74302864074707,84.97000122070312,54.2599983215332,72.26000213623047,31.739999771118164,,27.649999618530273,14.569999694824219,,39.14772033691406,20.918712615966797,,20.350000381469727,57.94124984741211,13.079999923706055,89.61000061035156,97.24311065673828,16.610000610351562,48.529998779296875,4.409999847412109,,21.920000076293945,71.41919708251953,16.05583953857422,37.289310455322266,25.159530639648438,37.00094985961914,185.95242309570312,,19.336198806762695,20.040000915527344,59.119998931884766,38.959999084472656,362.42999267578125,148.1999969482422,16.860000610351562,40.027156829833984,14.5,9.774161338806152,40.0,158.59471130371094,51.88999938964844,10.380000114440918,,,17.305620193481445,22.678794860839844,129.77999877929688,146.52166748046875,131.6999969482422,79.46673583984375,55.38040542602539,22.786230087280273,48.38288116455078,,100.07246398925781,98.12333679199219,4.400000095367432,12.865981101989746,31.591201782226562,81.76000213623047,237.9600067138672,43.4697265625,24.079999923706055,30.579999923706055,9.079999923706055,19.641952514648438,3.859999895095825,33.745567321777344,,39.27436065673828,24.309999465942383,25.350000381469727,11.674020767211914,,55.930641174316406,4.297999858856201,27.760000228881836,,,22.393327713012695,409.4660949707031,74.16000366210938,71.41683197021484,35.584617614746094,,23.690000534057617,17.574644088745117,11.544161796569824,21.899999618530273,71.41422271728516,69.87999725341797,39.0,51.40999984741211,26.188766479492188,14.380000114440918,124.4878921508789,124.31695556640625,103.87998962402344,70.27687072753906,,48.95000076293945
2022-04-29,31.96463966369629,184.21229553222656,11.6727876663208,18.440000534057617,43.42753219604492,21.87410545349121,20.52295684814453,,,12.65999984741211,24.309999465942383,67.6842041015625,36.63442611694336,146.89578247070312,44.099998474121094,42.900001525878906,25.077556610107422,103.86000061035156,31.649999618530273,35.20000076293945,25.204618453979492,30.259557723999023,,31.8799991607666,25.3700008392334,53.987369537353516,104.33598327636719,170.7100067138672,21.917613983154297,203.55999755859375,50.017799377441406,32.68000030517578,,,,106.13243103027344,17.333332061767578,18.350000381469727,32.475582122802734,,93.99005126953125,29.059999465942383,58.22999954223633,23.760000228881836,69.86066436767578,,7.619999885559082,37.328189849853516,13.765167236328125,16.143871307373047,63.619998931884766,9.449999809265137,41.513973236083984,17.868297576904297,25.910268783569336,,17.899999618530273,13.649999618530273,21.75,17.329999923706055,73.87110137939453,39.43000030517578,39.869998931884766,81.0,38.36000061035156,86.47000122070312,21.75,8.829999923706055,,,71.18197631835938,79.78477478027344,109.91817474365234,152.46409606933594,12.807744026184082,37.650001525878906,,12.426526069641113,79.72000122070312,52.459999084472656,73.02999877929688,30.90999984741211,,26.389999389648438,13.920000076293945,,39.01365661621094,20.813684463500977,,19.700000762939453,54.41101837158203,12.75,86.94000244140625,94.10176086425781,15.899999618530273,46.83000183105469,4.210000038146973,,20.059999465942383,67.99015808105469,15.186205863952637,36.04029846191406,24.529647827148438,36.038455963134766,182.26763916015625,,18.681718826293945,19.600000381469727,66.41000366210938,39.29999923706055,354.6300048828125,143.0,15.600000381469727,37.669620513916016,14.399999618530273,9.469062805175781,38.040000915527344,154.8502655029297,50.95000076293945,10.0,,,16.782794952392578,21.96650505065918,128.6999969482422,143.12469482421875,119.30999755859375,76.2668685913086,53.64946365356445,21.636775970458984,47.3831901550293,,98.10694122314453,93.54666900634766,4.179999828338623,12.58736515045166,30.48383331298828,80.02999877929688,238.99000549316406,41.68197250366211,21.989999771118164,29.299999237060547,9.09000015258789,19.281381607055664,3.690000057220459,32.280025482177734,,36.43738555908203,23.350000381469727,24.719999313354492,11.295952796936035,,54.35526657104492,4.210000038146973,27.510000228881836,,,22.6424617767334,394.3340148925781,72.31999969482422,71.36155700683594,32.84733200073242,,22.889999389648438,17.04568862915039,11.396750450134277,20.959999084472656,68.74531555175781,68.66999816894531,37.619998931884766,50.75,25.479347229003906,14.029999732971191,120.58451080322266,121.35383605957031,101.06871032714844,66.1260757446289,,47.400001525878906
2022-05-02,32.46306610107422,185.00587463378906,11.590871810913086,19.540000915527344,43.62722396850586,21.678302764892578,20.061668395996094,,,12.859999656677246,25.1200008392334,68.75899505615234,35.48757553100586,140.71580505371094,46.29999923706055,44.849998474121094,26.177717208862305,104.44000244140625,32.79999923706055,35.15999984741211,25.135087966918945,30.87765121459961,,31.440000534057617,26.239999771118164,54.552642822265625,106.29134368896484,175.75,20.736541748046875,211.67999267578125,48.90029525756836,33.56999969482422,,,,106.3735580444336,18.19333267211914,19.18000030517578,33.155696868896484,,92.76433563232422,30.3700008392334,56.72999954223633,23.829999923706055,70.13040924072266,,7.809999942779541,36.901153564453125,13.484782218933105,16.229188919067383,64.41999816894531,9.619999885559082,40.21202850341797,18.146263122558594,25.545333862304688,,17.809999465942383,14.079999923706055,22.09000015258789,17.989999771118164,74.78649139404297,42.40999984741211,41.38999938964844,85.83000183105469,39.709999084472656,91.22000122070312,22.030000686645508,9.300000190734863,,,69.28453826904297,78.56312561035156,114.26991271972656,157.0775909423828,13.697300910949707,38.040000915527344,,12.49434757232666,84.16999816894531,54.709999084472656,73.63999938964844,31.899999618530273,,25.540000915527344,14.489999771118164,,40.55542755126953,20.832782745361328,,20.219999313354492,56.01050567626953,13.010000228881836,86.5999984741211,93.3981704711914,16.8799991607666,46.97999954223633,4.329999923706055,,20.459999084472656,68.94995880126953,15.171832084655762,34.746028900146484,23.431840896606445,36.58359146118164,184.75042724609375,,18.366905212402344,19.829999923706055,65.95999908447266,38.790000915527344,360.8399963378906,144.42999267578125,16.65999984741211,38.35900115966797,14.859999656677246,9.454360008239746,38.68000030517578,152.0419158935547,53.22999954223633,10.1899995803833,,,17.01806640625,21.64114761352539,131.0,147.14505004882812,123.97000122070312,74.85343933105469,54.482540130615234,21.56916046142578,47.161041259765625,,101.20497131347656,95.32499694824219,4.46999979019165,12.58736515045166,29.970672607421875,80.91999816894531,247.1699981689453,41.074310302734375,23.0,29.81999969482422,9.680000305175781,19.48870849609375,3.8499999046325684,32.71778869628906,,36.575294494628906,23.25,26.270000457763672,11.212964057922363,,53.98675537109375,4.239999771118164,27.84000015258789,,,23.30362319946289,396.7077331542969,73.77999877929688,71.32469177246094,32.17842483520508,,23.309999465942383,17.008438110351562,11.581014633178711,22.0,69.54130554199219,69.25,38.029998779296875,51.900001525878906,24.829757690429688,14.15999984741211,119.95841217041016,121.996337890625,101.60137939453125,64.29219055175781,,49.20000076293945
2022-05-03,31.866273880004883,184.47988891601562,11.85709285736084,19.809999465942383,44.15021896362305,21.86012077331543,19.965932846069336,,,12.739999771118164,25.739999771118164,68.58445739746094,35.422828674316406,152.81942749023438,47.5,45.040000915527344,26.372785568237305,102.77999877929688,32.86000061035156,37.2400016784668,25.295007705688477,31.15534019470215,,31.59000015258789,26.84000015258789,55.309513092041016,107.7025375366211,168.17999267578125,20.843034744262695,208.6199951171875,48.89066696166992,33.560001373291016,,,,108.14820861816406,18.02666664123535,18.760000228881836,34.551734924316406,,97.67427062988281,30.299999237060547,57.810001373291016,23.950000762939453,69.88761138916016,,7.730000019073486,38.330787658691406,14.308411598205566,17.708017349243164,63.36000061035156,9.25,40.579010009765625,21.253795623779297,26.63164710998535,,18.280000686645508,13.5600004196167,21.790000915527344,18.34000015258789,74.26203918457031,41.15999984741211,39.220001220703125,83.94000244140625,40.0099983215332,86.5199966430664,21.5,9.149999618530273,,,69.33979797363281,77.86788177490234,115.06990814208984,158.61859130859375,14.165994644165039,37.709999084472656,,13.006781578063965,83.56999969482422,53.34000015258789,75.11000061035156,30.889999389648438,,25.84000015258789,14.170000076293945,,41.44601821899414,21.0523738861084,,20.469999313354492,57.373382568359375,13.09000015258789,85.06999969482422,88.64156341552734,14.90999984741211,45.27000045776367,4.329999923706055,,19.520000457763672,68.8597183227539,15.660552978515625,34.827484130859375,24.18770408630371,37.384254455566406,185.4893341064453,,18.574016571044922,19.899999618530273,65.6500015258789,38.11000061035156,355.70001220703125,122.19999694824219,16.780000686645508,37.84834671020508,14.510000228881836,9.689616203308105,39.529998779296875,152.70101928710938,52.90999984741211,10.199999809265137,,,17.357906341552734,22.38860321044922,129.77999877929688,146.51263427734375,117.72000122070312,76.87543487548828,56.361568450927734,20.42816162109375,51.085731506347656,,104.63057708740234,92.98999786376953,4.489999771118164,12.657020568847656,30.762924194335938,79.4800033569336,238.8699951171875,40.81011199951172,23.329999923706055,29.219999313354492,9.829999923706055,19.92139434814453,3.859999895095825,33.58061981201172,,36.575294494628906,23.549999237060547,26.100000381469727,11.12075138092041,,54.62244415283203,4.322999954223633,28.079999923706055,,,23.409027099609375,398.5262145996094,73.33000183105469,72.01580810546875,32.75932693481445,,23.43000030517578,17.515043258666992,11.332258224487305,21.8700008392334,71.50787353515625,68.93000030517578,38.5099983215332,56.77000045776367,25.58191680908203,14.25,124.07701873779297,128.08558654785156,104.50145721435547,64.27582550048828,,51.9900016784668
2022-05-04,32.830322265625,191.5944366455078,12.014097213745117,19.889999389648438,44.98701095581055,22.244733810424805,21.227943420410156,,,13.520000457763672,26.3700008392334,69.67760467529297,35.422828674316406,154.7180633544922,48.29999923706055,47.619998931884766,27.699230194091797,106.61000061035156,34.459999084472656,38.65999984741211,25.88601303100586,31.88092041015625,,32.0,27.760000228881836,57.25439453125,109.4642333984375,175.4499969482422,21.946657180786133,214.32000732421875,50.538021087646484,37.060001373291016,,,,110.4340591430664,19.25666618347168,19.639999389648438,36.27886199951172,,100.39492797851562,32.5099983215332,57.9900016784668,24.25,71.86592864990234,,7.820000171661377,41.2271728515625,15.158332824707031,16.911724090576172,64.5999984741211,9.649999618530273,41.548927307128906,23.33498191833496,27.921648025512695,,18.739999771118164,14.199999809265137,22.399999618530273,18.40999984741211,74.9390640258789,43.560001373291016,40.65999984741211,88.51000213623047,41.310001373291016,92.62000274658203,22.1299991607666,9.34000015258789,,,69.35824584960938,78.40420532226562,119.05008697509766,165.11553955078125,15.25642204284668,38.66999816894531,,13.368499755859375,87.11000061035156,53.150001525878906,78.69999694824219,30.809999465942383,,25.8799991607666,15.170000076293945,,41.34068298339844,21.54884910583496,,22.649999618530273,59.247337341308594,13.289999961853027,85.33999633789062,89.40460205078125,15.319999694824219,45.119998931884766,4.349999904632568,,20.719999313354492,71.2469253540039,16.063026428222656,35.07186508178711,22.963918685913086,38.23602294921875,195.70620727539062,,18.565736770629883,20.290000915527344,66.6500015258789,38.599998474121094,364.6700134277344,121.94000244140625,17.760000228881836,38.16325378417969,14.65999984741211,9.807243347167969,40.59000015258789,151.86997985839844,54.810001373291016,10.59000015258789,,,17.671602249145508,24.569425582885742,133.6199951171875,150.31617736816406,120.51000213623047,79.95750427246094,58.666385650634766,20.588748931884766,52.501953125,,107.1950912475586,92.211669921875,4.650000095367432,12.965484619140625,31.42013931274414,79.75,247.00999450683594,41.23283004760742,24.75,30.0,9.819999694824219,20.254915237426758,3.9600000381469727,34.386356353759766,,37.304237365722656,23.729999542236328,26.8799991607666,11.277509689331055,,55.02779769897461,5.671999931335449,28.670000076293945,,,23.46651840209961,410.6625061035156,72.75,74.79876708984375,32.7241096496582,,24.010000228881836,18.04399299621582,11.553375244140625,30.690000534057617,73.06239318847656,72.0199966430664,38.869998931884766,58.380001068115234,26.197317123413086,14.479999542236328,129.6826629638672,134.56802368164062,106.02055358886719,65.31555938720703,,54.11000061035156
2022-05-05,31.433429718017578,185.78099060058594,11.788832664489746,18.829999923706055,44.16923904418945,21.062917709350586,20.82758140563965,,,12.819999694824219,25.760000228881836,66.35221099853516,34.5534553527832,159.98675537109375,44.599998474121094,45.20000076293945,26.614667892456055,104.11000061035156,31.229999542236328,37.70000076293945,24.92650032043457,31.173259735107422,,30.719999313354492,26.639999389648438,55.39573669433594,105.90397644042969,152.24000549316406,21.51101303100586,207.91000366210938,49.31454086303711,33.939998626708984,,,,105.38013458251953,16.93000030517578,18.690000534057617,34.35485076904297,,101.2734603881836,28.979999542236328,54.7599983215332,23.719999313354492,68.8265380859375,,7.53000020980835,39.99250030517578,14.746512413024902,16.18178939819336,61.0,9.170000076293945,40.18581008911133,23.3135986328125,27.28513526916504,,18.190000534057617,13.430000305175781,21.299999237060547,17.399999618530273,71.92586517333984,35.65999984741211,38.689998626708984,80.93000030517578,37.06999969482422,86.6500015258789,21.389999389648438,8.760000228881836,,,67.608154296875,77.23220825195312,113.18351745605469,161.71961975097656,14.481644630432129,37.470001220703125,,12.976638793945312,79.45999908447266,45.45000076293945,76.41000366210938,29.90999984741211,,24.719999313354492,15.039999961853027,,39.71272659301758,21.12875747680664,,21.719999313354492,54.628700256347656,12.970000267028809,80.33999633789062,85.6884994506836,14.680000305175781,43.119998931884766,4.190000057220459,,20.350000381469727,67.08777618408203,15.868975639343262,34.50166320800781,21.371204376220703,37.21390151977539,184.96717834472656,,18.201213836669922,19.309999465942383,64.1500015258789,37.61000061035156,343.6000061035156,114.79000091552734,15.899999618530273,37.0142707824707,13.880000114440918,9.571989059448242,39.75,160.81082153320312,52.939998626708984,9.779999732971191,,,17.46246910095215,23.997838973999023,127.48999786376953,147.4973907470703,111.16999816894531,77.64105224609375,57.93513488769531,19.49000358581543,51.030189514160156,,104.67735290527344,88.27333068847656,4.380000114440918,12.547563552856445,30.609880447387695,75.94000244140625,226.91000366210938,41.312095642089844,22.979999542236328,27.780000686645508,9.800000190734863,19.696035385131836,3.799999952316284,33.35221862792969,,36.496482849121094,22.969999313354492,24.670000076293945,10.576701164245605,,53.48005676269531,5.303999900817871,27.540000915527344,,,23.48568344116211,396.06640625,71.69000244140625,72.42127990722656,31.430288314819336,,23.809999465942383,17.753442764282227,10.788678169250488,28.6299991607666,69.9533462524414,73.0,37.189998626708984,59.310001373291016,25.436613082885742,13.90999984741211,137.0980987548828,133.09124755859375,100.33876037597656,64.13665771484375,,49.61000061035156
